ticker,starting_cash,entry_cents,original_contracts,simulated_contracts,net_pnl,ending_cash
KXBTC15M-26AUG272000-00,115.0000,59,5,39,15.2872,130.2872
KXBTC15M-26AUG272015-15,130.2872,59,5,45,17.2377,147.5249
KXBTC15M-26AUG272045-45,147.5249,58,5,51,20.0399,167.5649
KXBTC15M-26AUG272245-45,167.5649,56,22,60,24.7650,192.3299
KXBTC15M-26AUG272315-15,192.3299,59,22,66,25.2822,217.6121
KXBTC15M-26AUG272345-45,217.6121,56,25,78,-45.0257,172.5864
KXBTC15M-26AUG280115-15,172.5864,58,22,60,22.9767,195.5631
KXBTC15M-26AUG280130-30,195.5631,58,23,68,26.7205,222.2836
KXBTC15M-26AUG280245-45,222.2836,59,24,76,-46.1269,176.1567
KXBTC15M-26AUG280315-15,176.1567,57,23,62,24.9760,201.1327
KXBTC15M-26AUG280330-30,201.1327,56,25,72,29.7181,230.8508
KXBTC15M-26AUG280400-00,230.8508,59,25,79,30.2621,261.1129
KXBTC15M-26AUG280545-45,261.1129,57,28,92,-54.0185,207.0944
KXBTC15M-26AUG280600-00,207.0944,57,25,73,-42.8627,164.2317
KXBTC15M-26AUG280730-30,164.2317,59,21,56,21.4517,185.6835
KXBTC15M-26AUG280800-00,185.6835,56,24,67,-38.6758,147.0077
KXBTC15M-26AUG280900-00,147.0077,59,20,50,19.1532,166.1610
KXBTC15M-26AUG280915-15,166.1610,59,22,57,-34.5954,131.5656
KXBTC15M-26SEP081300-00,131.5656,61,19,44,3.2271,134.7927
KXBTC15M-26SEP082115-15,134.7927,50,47,54,9.8550,144.6477
KXBTC15M-26SEP090100-00,144.6477,57,45,51,5.7550,150.4026
KXBTC15M-26SEP090730-30,150.4026,63,42,48,2.5767,152.9793
KXBTC15M-26SEP101915-15,152.9793,61,44,51,-31.1100,121.8693
KXBTC15M-26SEP111645-45,121.8693,46,47,53,12.7200,134.5893
KXBTC15M-26SEP112000-00,134.5893,40,59,68,19.2576,153.8469
KXBTC15M-26SEP130900-00,153.8469,46,59,67,15.5892,169.4361
KXBTC15M-26SEP140045-45,169.4361,47,63,73,15.5170,184.9531
KXBTC15M-26SEP140430-30,184.9531,65,50,57,1.9422,186.8953
