ticker,starting_cash,entry_cents,original_contracts,simulated_contracts,net_pnl,ending_cash
KXBTC15M-26AUG272000-00,1000.0000,59,5,339,132.8812,1132.8812
KXBTC15M-26AUG272015-15,1132.8812,59,5,385,147.4781,1280.3593
KXBTC15M-26AUG272045-45,1280.3593,58,5,442,173.6795,1454.0388
KXBTC15M-26AUG272245-45,1454.0388,56,22,520,214.6300,1668.6688
KXBTC15M-26AUG272315-15,1668.6688,59,22,566,216.8140,1885.4828
KXBTC15M-26AUG272345-45,1885.4828,56,25,674,-389.0678,1496.4150
KXBTC15M-26AUG280115-15,1496.4150,58,22,516,197.5999,1694.0148
KXBTC15M-26AUG280130-30,1694.0148,58,23,585,229.8745,1923.8893
KXBTC15M-26AUG280245-45,1923.8893,59,24,653,-396.3275,1527.5618
KXBTC15M-26AUG280315-15,1527.5618,57,23,536,215.9218,1743.4836
KXBTC15M-26AUG280330-30,1743.4836,56,25,623,257.1445,2000.6281
KXBTC15M-26AUG280400-00,2000.6281,59,25,679,260.1005,2260.7286
KXBTC15M-26AUG280545-45,2260.7286,57,28,794,-466.2028,1794.5258
KXBTC15M-26AUG280600-00,1794.5258,57,25,630,-369.9108,1424.6150
KXBTC15M-26AUG280730-30,1424.6150,59,21,483,185.0212,1609.6362
KXBTC15M-26AUG280800-00,1609.6362,56,24,575,-331.9188,1277.7174
KXBTC15M-26AUG280900-00,1277.7174,59,20,434,166.2502,1443.9677
KXBTC15M-26AUG280915-15,1443.9677,59,22,490,-297.3988,1146.5688
KXBTC15M-26SEP081300-00,1146.5688,61,19,376,27.5766,1174.1455
KXBTC15M-26SEP082115-15,1174.1455,50,47,470,85.7750,1259.9205
KXBTC15M-26SEP090100-00,1259.9205,57,45,443,49.9891,1309.9096
KXBTC15M-26SEP090730-30,1309.9096,63,42,416,22.3313,1332.2408
KXBTC15M-26SEP101915-15,1332.2408,61,44,437,-266.5700,1065.6708
KXBTC15M-26SEP111645-45,1065.6708,46,47,464,111.3600,1177.0308
KXBTC15M-26SEP112000-00,1177.0308,40,59,589,166.8048,1343.8356
KXBTC15M-26SEP130900-00,1343.8356,46,59,585,136.1146,1479.9503
KXBTC15M-26SEP140045-45,1479.9503,47,63,630,133.9140,1613.8643
KXBTC15M-26SEP140430-30,1613.8643,65,50,497,16.9348,1630.7990
