trade_num,ticker,market_end,date,hour,minute,entry_c,early_low_c,reclaim_c,btc_ret,ema_dist,ema_slope,future_max_bid,hit,unit_pnl_c,contracts_10pct,trade_pnl_c,balance_after_c,drawdown_c,week
1,KXBTC15M-26JUN161815-15,2026-06-16 22:15:00+00:00,2026-06-16,22,7,39.0,23.0,15.0,0.7599999999947613,-65.94837944325991,-26.70406359572371,99.9,True,24.5,29,710.5,12210.5,0.0,2026-W25
2,KXBTC15M-26JUN161900-00,2026-06-16 23:00:00+00:00,2026-06-16,23,7,37.0,25.0,1.0,13.059999999997672,-107.00632565234264,-15.722053790916107,99.9,True,26.5,33,874.5,13085.0,0.0,2026-W25
3,KXBTC15M-26JUN190430-30,2026-06-19 08:30:00+00:00,2026-06-19,8,6,46.0,28.999999999999996,16.000000000000004,16.43000000000029,-91.47655735412263,-48.62587048421847,99.9,True,17.5,28,490.0,13575.0,0.0,2026-W25
4,KXBTC15M-26JUN191315-15,2026-06-19 17:15:00+00:00,2026-06-19,17,6,50.0,22.0,5.0,17.82999999999447,-78.8840385424628,31.78972324244387,99.9,True,13.5,27,364.5,13939.5,0.0,2026-W25
5,KXBTC15M-26JUN211045-45,2026-06-21 14:45:00+00:00,2026-06-21,14,7,52.0,28.999999999999996,0.0,-16.82999999999447,-133.6612741764402,-21.858351752409362,99.9,True,11.5,26,299.0,14238.5,0.0,2026-W25
6,KXBTC15M-26JUN281000-00,2026-06-28 14:00:00+00:00,2026-06-28,14,6,36.0,28.000000000000004,4.9999999999999964,-0.6999999999970896,-114.1847612855272,-34.44294598552369,48.0,False,-42.5,39,-1657.5,12581.0,-1657.5,2026-W26
7,KXBTC15M-26JUL010500-00,2026-07-01 09:00:00+00:00,2026-07-01,9,6,37.0,22.0,12.0,-9.080000000001746,-108.14975045000028,-45.54998739894654,99.9,True,26.5,34,901.0,13482.0,-756.5,2026-W27
8,KXBTC15M-26JUL010730-30,2026-07-01 11:30:00+00:00,2026-07-01,11,10,44.0,28.000000000000004,13.999999999999996,-16.110000000000582,-97.32636122006079,-41.129615563833795,77.0,True,19.5,30,585.0,14067.0,-171.5,2026-W27
9,KXBTC15M-26JUL020215-15,2026-07-02 06:15:00+00:00,2026-07-02,6,6,38.0,21.0,3.0,-0.8099999999976717,-54.829594356669986,25.167214267938107,41.0,False,-44.5,37,-1646.5,12420.5,-1818.0,2026-W27
10,KXBTC15M-26JUL050330-30,2026-07-05 07:30:00+00:00,2026-07-05,7,8,50.0,24.0,9.0,-17.94000000000233,-84.17741198220028,-15.259083366116101,77.0,True,13.5,24,324.0,12744.5,-1494.0,2026-W27
11,KXBTC15M-26JUL080330-30,2026-07-08 07:30:00+00:00,2026-07-08,7,9,41.0,23.0,5.0000000000000036,-17.639999999999418,-131.22938346805313,-65.83698592792643,99.9,True,22.5,31,697.5,13442.0,-796.5,2026-W28
12,KXBTC15M-26JUL082230-30,2026-07-09 02:30:00+00:00,2026-07-09,2,9,54.0,28.000000000000004,19.999999999999996,-10.339999999996508,-93.24112852448161,-55.760073541612655,71.0,True,9.5,24,228.0,13670.0,-568.5,2026-W28
13,KXBTC15M-26JUL092100-00,2026-07-10 01:00:00+00:00,2026-07-10,1,6,50.0,27.0,11.0,18.87000000000262,-129.08273009598634,-25.432463661782094,99.9,True,13.5,27,364.5,14034.5,-204.0,2026-W28
14,KXBTC15M-26JUL140400-00,2026-07-14 08:00:00+00:00,2026-07-14,8,6,43.0,28.999999999999996,13.000000000000004,-2.470000000001164,-50.378141632070765,-7.645094880215765,70.0,True,20.5,32,656.0,14690.5,0.0,2026-W29
15,KXBTC15M-26JUL151615-15,2026-07-15 20:15:00+00:00,2026-07-15,20,6,43.0,26.0,15.0,10.660000000003492,-71.35133848099213,-26.26175303720811,71.0,True,20.5,34,697.0,15387.5,0.0,2026-W29
16,KXBTC15M-26JUL151830-30,2026-07-15 22:30:00+00:00,2026-07-15,22,7,52.0,25.0,23.0,-8.669999999998254,-148.68609972427657,-43.56062900873076,99.9,True,11.5,29,333.5,15721.0,0.0,2026-W29
17,KXBTC15M-26JUL160700-00,2026-07-16 11:00:00+00:00,2026-07-16,11,6,45.0,27.0,15.0,7.430000000000291,-120.465815363008,-43.07671488516644,99.9,True,18.5,34,629.0,16350.0,0.0,2026-W29
18,KXBTC15M-26JUL161530-30,2026-07-16 19:30:00+00:00,2026-07-16,19,6,45.0,28.000000000000004,14.999999999999996,6.029999999998836,-78.67714424757287,-25.77614474594884,99.9,True,18.5,36,666.0,17016.0,0.0,2026-W29
19,KXBTC15M-26JUL161600-00,2026-07-16 20:00:00+00:00,2026-07-16,20,6,54.0,24.0,11.0,-4.2700000000040745,-89.78912747733557,-19.226731194998138,99.9,True,9.5,31,294.5,17310.5,0.0,2026-W29
20,KXBTC15M-26JUL200030-30,2026-07-20 04:30:00+00:00,2026-07-20,4,6,44.0,23.0,13.0,4.630000000004657,-57.72190930999932,12.26621801838337,99.9,True,19.5,39,760.5,18071.0,0.0,2026-W30
