rule,side,btc_ret_bin,ema15_bin,ema15_slope_bin,target_c,trades,avg_entry_c,median_entry_minute,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,avg_signed_btc_ret_window,avg_signed_dist_ema21_15m,avg_signed_ema21_slope_15m,avg_early_low_c
m5_low0-20_close35-55_green,YES,flat,below50-150,slope_flat,65,20,42.2,6.0,0.65,0.6492307692307693,0.05,-4.8,"-4.80,-3.60,11.00,-2.40",3,7,-41.0,0.02199999999902502,-82.97911304897062,-16.39335341921578,17.25
m5_low0-20_close35-55_green,YES,flat,below50-150,slope_flat,70,20,42.2,6.0,0.65,0.6028571428571429,3.3,-1.8,"-1.80,-0.60,15.00,0.60",3,7,-41.0,0.02199999999902502,-82.97911304897062,-16.39335341921578,17.25
m5_low0-20_close35-55_green,YES,flat,below50-150,slope_flat,75,20,42.2,6.0,0.65,0.5626666666666668,6.55,1.2,"1.20,2.40,19.00,3.60",3,7,-41.0,0.02199999999902502,-82.97911304897062,-16.39335341921578,17.25
m5_low0-20_close35-55_green,YES,flat,below50-150,slope_flat,80,20,42.2,6.0,0.6,0.5275000000000001,5.8,-9.4,"4.20,5.40,23.00,-9.40",3,7,-41.0,0.02199999999902502,-82.97911304897062,-16.39335341921578,17.25
m5_low0-20_close35-55_green,YES,flat,below50-150,slope_flat,85,20,42.2,6.0,0.6,0.49647058823529416,8.8,-7.4,"7.20,8.40,27.00,-7.40",3,7,-41.0,0.02199999999902502,-82.97911304897062,-16.39335341921578,17.25
m5_low15-25_close35-55_green,NO,flat,below0-50,slope_flat,65,26,42.84615384615385,6.0,0.6153846153846154,0.6591715976331362,-2.8461538461538463,-9.000000000000002,"-7.00,12.67,-9.00,-6.71",5,10,-26.5,-4.206153846154148,-26.680093394244558,-5.244234375027959,20.923076923076923
m5_low15-25_close35-55_green,NO,flat,below0-50,slope_flat,70,26,42.84615384615385,6.0,0.5769230769230769,0.6120879120879121,-2.4615384615384617,-6.500000000000001,"-4.14,5.17,-6.50,-3.86",4,10,-25.25,-4.206153846154148,-26.680093394244558,-5.244234375027959,20.923076923076923
m5_low15-25_close35-55_green,NO,flat,below0-50,slope_flat,75,26,42.84615384615385,6.0,0.46153846153846156,0.5712820512820513,-8.23076923076923,-22.714285714285715,"-22.71,8.50,-4.00,-11.71",3,10,-46.0,-4.206153846154148,-26.680093394244558,-5.244234375027959,20.923076923076923
m5_low15-25_close35-55_green,NO,flat,below0-50,slope_flat,80,26,42.84615384615385,6.0,0.4230769230769231,0.5355769230769231,-9.0,-21.285714285714285,"-21.29,11.83,-1.50,-21.00",3,10,-46.0,-4.206153846154148,-26.680093394244558,-5.244234375027959,20.923076923076923
m5_low15-25_close35-55_green,NO,flat,below0-50,slope_flat,85,26,42.84615384615385,6.0,0.4230769230769231,0.5040723981900452,-6.884615384615385,-19.857142857142858,"-19.86,15.17,1.00,-19.57",3,10,-46.0,-4.206153846154148,-26.680093394244558,-5.244234375027959,20.923076923076923
