rule,side,btc_ret_bin,ema15_bin,target_c,trades,avg_entry_c,median_entry_minute,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,avg_signed_btc_ret_window,avg_signed_dist_ema21_15m,avg_signed_ema21_slope_15m,avg_early_low_c
m5_low0-20_close35-55_green,NO,flat,below>150,65,27,41.25925925925926,6.0,0.6666666666666666,0.6347578347578348,2.074074074074074,-10.166666666666666,"14.86,8.14,-10.17,-6.29",4,10,-37.0,0.9685185185188419,-299.6400850424732,-78.45155444534774,16.307407407407407
m5_low0-20_close35-55_green,NO,flat,below>150,70,27,41.25925925925926,6.0,0.6666666666666666,0.5894179894179894,5.407407407407407,-7.666666666666667,"19.14,11.71,-7.67,-3.43",5,10,-37.0,0.9685185185188419,-299.6400850424732,-78.45155444534774,16.307407407407407
m5_low0-20_close35-55_green,NO,flat,below>150,75,27,41.25925925925926,6.0,0.5555555555555556,0.5501234567901234,0.4074074074074074,-8.714285714285715,"-8.71,15.29,-5.17,-0.57",4,10,-37.0,0.9685185185188419,-299.6400850424732,-78.45155444534774,16.307407407407407
m5_low0-20_close35-55_green,NO,flat,below>150,80,27,41.25925925925926,6.0,0.5185185185185185,0.5157407407407407,0.2222222222222222,-6.571428571428572,"-6.57,7.43,-2.67,2.29",5,10,-37.0,0.9685185185188419,-299.6400850424732,-78.45155444534774,16.307407407407407
m5_low0-20_close35-55_green,NO,flat,below>150,85,27,41.25925925925926,6.0,0.5185185185185185,0.4854030501089325,2.814814814814815,-4.42857142857143,"-4.43,10.29,-0.17,5.14",6,10,-37.0,0.9685185185188419,-299.6400850424732,-78.45155444534774,16.307407407407407
m5_low0-20_close35-55_green,NO,flat,above50-150,65,26,42.69230769230769,6.0,0.4230769230769231,0.6568047337278107,-15.192307692307692,-25.0,"-25.00,-13.33,-6.83,-14.14",0,9,-43.99999999999999,-1.5892307692313177,88.18365173048929,26.57323372279811,16.6
m5_low0-20_close35-55_green,NO,flat,above50-150,70,26,42.69230769230769,6.0,0.38461538461538464,0.6098901098901099,-15.76923076923077,-23.571428571428573,"-23.57,-22.50,-4.33,-12.00",1,9,-43.99999999999999,-1.5892307692313177,88.18365173048929,26.57323372279811,16.6
m5_low0-20_close35-55_green,NO,flat,above50-150,75,26,42.69230769230769,6.0,0.34615384615384615,0.5692307692307692,-16.73076923076923,-22.142857142857142,"-22.14,-20.83,-14.33,-9.86",2,9,-43.99999999999999,-1.5892307692313177,88.18365173048929,26.57323372279811,16.6
m5_low0-20_close35-55_green,NO,flat,above50-150,80,26,42.69230769230769,6.0,0.3076923076923077,0.5336538461538461,-18.076923076923077,-32.5,"-20.71,-32.50,-12.67,-7.71",3,9,-43.99999999999999,-1.5892307692313177,88.18365173048929,26.57323372279811,16.6
m5_low0-20_close35-55_green,NO,flat,above50-150,85,26,42.69230769230769,6.0,0.23076923076923078,0.502262443438914,-23.076923076923077,-31.666666666666668,"-31.43,-31.67,-11.00,-17.71",1,9,-43.99999999999999,-1.5892307692313177,88.18365173048929,26.57323372279811,16.6
m5_low0-20_close35-55_green,YES,flat,below50-150,65,27,42.7037037037037,6.0,0.7037037037037037,0.656980056980057,3.037037037037037,-8.714285714285714,"5.00,-8.71,12.50,4.71",4,8,-35.0,0.9125925925920321,-91.29904869987567,-22.809784008554644,17.037037037037038
m5_low0-20_close35-55_green,YES,flat,below50-150,70,27,42.7037037037037,6.0,0.7037037037037037,0.6100529100529101,6.555555555555555,-5.857142857142857,"8.57,-5.86,16.67,8.29",4,8,-35.0,0.9125925925920321,-91.29904869987567,-22.809784008554644,17.037037037037038
m5_low0-20_close35-55_green,YES,flat,below50-150,75,27,42.7037037037037,6.0,0.6296296296296297,0.5693827160493827,4.518518518518518,-13.714285714285714,"1.43,-13.71,20.83,11.86",4,8,-37.0,0.9125925925920321,-91.29904869987567,-22.809784008554644,17.037037037037038
m5_low0-20_close35-55_green,YES,flat,below50-150,80,27,42.7037037037037,6.0,0.5925925925925926,0.5337962962962963,4.703703703703703,-11.571428571428571,"4.29,-11.57,25.00,4.00",4,8,-37.0,0.9125925925920321,-91.29904869987567,-22.809784008554644,17.037037037037038
m5_low0-20_close35-55_green,YES,flat,below50-150,85,27,42.7037037037037,6.0,0.5925925925925926,0.50239651416122,7.666666666666667,-9.428571428571429,"7.14,-9.43,29.17,6.86",4,8,-37.0,0.9125925925920321,-91.29904869987567,-22.809784008554644,17.037037037037038
m5_low0-20_close40-60_green,YES,flat,below50-150,65,26,48.34615384615385,6.0,0.7692307692307693,0.7437869822485207,1.6538461538461537,-14.166666666666666,"5.57,-14.17,4.50,8.86",4,7,-11.0,1.459230769230299,-90.93367141628634,-23.9530898541816,17.115384615384617
m5_low0-20_close40-60_green,YES,flat,below50-150,70,26,48.34615384615385,6.0,0.7307692307692307,0.6906593406593406,2.8076923076923075,-11.666666666666666,"-0.14,-11.67,8.67,13.14",4,7,-8.5,1.459230769230299,-90.93367141628634,-23.9530898541816,17.115384615384617
m5_low0-20_close40-60_green,YES,flat,below50-150,75,26,48.34615384615385,6.0,0.6538461538461539,0.6446153846153846,0.6923076923076923,-9.166666666666666,"-7.29,-9.17,0.33,17.43",4,7,-57.99999999999999,1.459230769230299,-90.93367141628634,-23.9530898541816,17.115384615384617
m5_low0-20_close40-60_green,YES,flat,below50-150,80,26,48.34615384615385,6.0,0.6153846153846154,0.604326923076923,0.8846153846153846,-6.666666666666667,"-4.43,-6.67,3.67,10.29",4,7,-57.99999999999999,1.459230769230299,-90.93367141628634,-23.9530898541816,17.115384615384617
m5_low0-20_close40-60_green,YES,flat,below50-150,85,26,48.34615384615385,6.0,0.6153846153846154,0.5687782805429864,3.9615384615384617,-4.166666666666667,"-1.57,-4.17,7.00,13.86",4,7,-57.99999999999999,1.459230769230299,-90.93367141628634,-23.9530898541816,17.115384615384617
m5_low15-25_close35-55_green,NO,against20-50,below>150,65,26,41.69230769230769,7.0,0.6538461538461539,0.6414201183431952,0.8076923076923074,-19.166666666666664,"-2.71,22.83,-19.17,2.57",5,9,-36.5,-34.361153846153265,-410.62302315618916,-118.24902489546199,20.46153846153846
m5_low15-25_close35-55_green,NO,against20-50,below>150,70,26,41.69230769230769,7.0,0.6538461538461539,0.5956043956043956,4.076923076923077,-17.499999999999996,"0.14,27.83,-17.50,6.14",5,9,-36.5,-34.361153846153265,-410.62302315618916,-118.24902489546199,20.46153846153846
m5_low15-25_close35-55_green,NO,against20-50,below>150,75,26,41.69230769230769,7.0,0.5769230769230769,0.5558974358974359,1.5769230769230766,-15.83333333333333,"-7.71,32.83,-15.83,-1.00",4,9,-36.5,-34.361153846153265,-410.62302315618916,-118.24902489546199,20.46153846153846
m5_low15-25_close35-55_green,NO,against20-50,below>150,80,26,41.69230769230769,7.0,0.5384615384615384,0.5211538461538462,1.3846153846153846,-27.5,"-5.57,37.83,-27.50,1.86",6,9,-42.333333333333336,-34.361153846153265,-410.62302315618916,-118.24902489546199,20.46153846153846
m5_low15-25_close35-55_green,NO,against20-50,below>150,85,26,41.69230769230769,7.0,0.5,0.4904977375565611,0.8076923076923074,-26.666666666666668,"-3.43,28.67,-26.67,4.71",6,9,-42.333333333333336,-34.361153846153265,-410.62302315618916,-118.24902489546199,20.46153846153846
m5_low15-25_close35-55_green,NO,flat,below>150,65,36,42.666666666666664,6.0,0.6111111111111112,0.6564102564102564,-2.944444444444445,-14.333333333333334,"7.00,1.78,-6.22,-14.33",2,10,-26.0,0.08388888888900208,-290.3007324079681,-78.90345520480757,19.86111111111111
m5_low15-25_close35-55_green,NO,flat,below>150,70,36,42.666666666666664,6.0,0.5833333333333334,0.6095238095238095,-1.8333333333333341,-12.11111111111111,"10.89,-2.67,-3.44,-12.11",5,10,-24.333333333333332,0.08388888888900208,-290.3007324079681,-78.90345520480757,19.86111111111111
m5_low15-25_close35-55_green,NO,flat,below>150,75,36,42.666666666666664,6.0,0.5555555555555556,0.5688888888888889,-1.0000000000000009,-9.88888888888889,"6.44,0.11,-0.67,-9.89",5,10,-22.666666666666668,0.08388888888900208,-290.3007324079681,-78.90345520480757,19.86111111111111
m5_low15-25_close35-55_green,NO,flat,below>150,80,36,42.666666666666664,6.0,0.5277777777777778,0.5333333333333333,-0.4444444444444454,-7.666666666666667,"9.78,2.89,-6.78,-7.67",5,10,-21.000000000000004,0.08388888888900208,-290.3007324079681,-78.90345520480757,19.86111111111111
m5_low15-25_close35-55_green,NO,flat,below>150,85,36,42.666666666666664,6.0,0.5277777777777778,0.5019607843137255,2.1944444444444438,-5.444444444444445,"13.11,5.67,-4.56,-5.44",7,10,-19.333333333333336,0.08388888888900208,-290.3007324079681,-78.90345520480757,19.86111111111111
m5_low15-25_close35-55_green,NO,flat,below50-150,65,26,41.73076923076923,6.0,0.5384615384615384,0.6420118343195267,-6.730769230769231,-22.666666666666668,"5.86,-8.83,-22.67,-3.86",3,9,-43.00000000000001,-7.999230769230612,-85.3961239947418,-18.347097042254273,20.923076923076923
m5_low15-25_close35-55_green,NO,flat,below50-150,70,26,41.73076923076923,6.0,0.5384615384615384,0.5961538461538461,-4.038461538461538,-21.0,"9.43,-6.33,-21.00,-1.00",3,9,-43.00000000000001,-7.999230769230612,-85.3961239947418,-18.347097042254273,20.923076923076923
m5_low15-25_close35-55_green,NO,flat,below50-150,75,26,41.73076923076923,6.0,0.5384615384615384,0.5564102564102564,-1.3461538461538463,-19.333333333333332,"13.00,-3.83,-19.33,1.86",3,9,-43.00000000000001,-7.999230769230612,-85.3961239947418,-18.347097042254273,20.923076923076923
m5_low15-25_close35-55_green,NO,flat,below50-150,80,26,41.73076923076923,6.0,0.5384615384615384,0.5216346153846154,1.3461538461538458,-17.666666666666668,"16.57,-1.33,-17.67,4.71",4,9,-43.00000000000001,-7.999230769230612,-85.3961239947418,-18.347097042254273,20.923076923076923
m5_low15-25_close35-55_green,NO,flat,below50-150,85,26,41.73076923076923,6.0,0.5,0.4909502262443439,0.7692307692307693,-16.0,"8.00,1.17,-16.00,7.57",5,9,-51.0,-7.999230769230612,-85.3961239947418,-18.347097042254273,20.923076923076923
m5_low15-25_close35-55_green,NO,flat,below0-50,65,28,42.785714285714285,6.0,0.6428571428571429,0.6582417582417582,-1.0,-8.571428571428571,"-8.57,15.29,-4.00,-6.71",5,10,-26.5,-4.5903571428573615,-27.15143348892447,-5.2016773419711955,20.821428571428573
m5_low15-25_close35-55_green,NO,flat,below0-50,70,28,42.785714285714285,6.0,0.6071428571428571,0.6112244897959184,-0.2857142857142857,-5.714285714285714,"-5.71,9.57,-1.14,-3.86",6,10,-25.25,-4.5903571428573615,-27.15143348892447,-5.2016773419711955,20.821428571428573
m5_low15-25_close35-55_green,NO,flat,below0-50,75,28,42.785714285714285,6.0,0.5,0.5704761904761905,-5.285714285714286,-13.571428571428571,"-13.57,2.43,1.71,-11.71",4,10,-46.0,-4.5903571428573615,-27.15143348892447,-5.2016773419711955,20.821428571428573
m5_low15-25_close35-55_green,NO,flat,below0-50,80,28,42.785714285714285,6.0,0.4642857142857143,0.5348214285714286,-5.642857142857143,-21.0,"-11.43,5.29,4.57,-21.00",4,10,-46.0,-4.5903571428573615,-27.15143348892447,-5.2016773419711955,20.821428571428573
m5_low15-25_close35-55_green,NO,flat,below0-50,85,28,42.785714285714285,6.0,0.4642857142857143,0.5033613445378151,-3.3214285714285716,-19.571428571428573,"-9.29,8.14,7.43,-19.57",4,10,-46.0,-4.5903571428573615,-27.15143348892447,-5.2016773419711955,20.821428571428573
m5_low15-25_close35-55_green,NO,flat,above0-50,65,34,42.911764705882355,7.0,0.47058823529411764,0.6601809954751131,-12.323529411764707,-24.25,"-9.22,-2.62,-24.25,-13.44",2,9,-28.2,-3.2458823529414076,26.60257489534963,10.888110819778163,20.38235294117647
m5_low15-25_close35-55_green,NO,flat,above0-50,70,34,42.911764705882355,7.0,0.4411764705882353,0.6130252100840337,-12.029411764705882,-31.75,"-6.44,0.50,-31.75,-11.22",2,9,-41.2,-3.2458823529414076,26.60257489534963,10.888110819778163,20.38235294117647
m5_low15-25_close35-55_green,NO,flat,above0-50,75,34,42.911764705882355,7.0,0.4411764705882353,0.572156862745098,-9.823529411764707,-31.125,"-3.67,3.63,-31.12,-9.00",2,9,-41.2,-3.2458823529414076,26.60257489534963,10.888110819778163,20.38235294117647
m5_low15-25_close35-55_green,NO,flat,above0-50,80,34,42.911764705882355,7.0,0.38235294117647056,0.5363970588235294,-12.323529411764707,-40.5,"-9.78,6.75,-40.50,-6.78",2,9,-41.2,-3.2458823529414076,26.60257489534963,10.888110819778163,20.38235294117647
m5_low15-25_close35-55_green,NO,flat,above0-50,85,34,42.911764705882355,7.0,0.38235294117647056,0.5048442906574395,-10.411764705882353,-40.5,"-7.56,9.88,-40.50,-4.56",2,9,-41.2,-3.2458823529414076,26.60257489534963,10.888110819778163,20.38235294117647
m5_low15-25_close35-55_green,NO,flat,above50-150,65,37,43.75675675675676,6.0,0.5675675675675675,0.6731808731808732,-6.864864864864865,-10.399999999999999,"-10.40,-9.44,-5.56,-1.67",3,10,-40.666666666666664,-2.0562162162154767,84.07992840112452,26.31117738185984,20.135135135135137
m5_low15-25_close35-55_green,NO,flat,above50-150,70,37,43.75675675675676,6.0,0.5405405405405406,0.6250965250965251,-5.918918918918919,-14.444444444444445,"-7.90,-14.44,-2.78,1.67",3,10,-40.666666666666664,-2.0562162162154767,84.07992840112452,26.31117738185984,20.135135135135137
m5_low15-25_close35-55_green,NO,flat,above50-150,75,37,43.75675675675676,6.0,0.4864864864864865,0.5834234234234235,-7.27027027027027,-12.222222222222221,"-5.40,-12.22,-8.33,-3.33",3,10,-46.74999999999999,-2.0562162162154767,84.07992840112452,26.31117738185984,20.135135135135137
m5_low15-25_close35-55_green,NO,flat,above50-150,80,37,43.75675675675676,6.0,0.43243243243243246,0.5469594594594595,-9.162162162162161,-18.88888888888889,"-2.90,-18.89,-6.11,-9.44",3,10,-46.74999999999999,-2.0562162162154767,84.07992840112452,26.31117738185984,20.135135135135137
m5_low15-25_close35-55_green,NO,flat,above50-150,85,37,43.75675675675676,6.0,0.32432432432432434,0.5147853736089031,-16.18918918918919,-26.666666666666668,"-8.90,-26.67,-13.33,-16.67",3,10,-46.74999999999999,-2.0562162162154767,84.07992840112452,26.31117738185984,20.135135135135137
m5_low15-25_close35-55_green,YES,flat,below>150,65,25,43.96,6.0,0.6,0.6763076923076923,-4.96,-19.5,"-6.57,-0.67,-19.50,7.17",4,9,-42.0,2.458399999999965,-345.04818792431035,-98.65623540295114,20.8
m5_low15-25_close35-55_green,YES,flat,below>150,70,25,43.96,6.0,0.6,0.628,-1.96,-17.833333333333332,"-3.71,2.67,-17.83,11.33",4,9,-42.0,2.458399999999965,-345.04818792431035,-98.65623540295114,20.8
m5_low15-25_close35-55_green,YES,flat,below>150,75,25,43.96,6.0,0.56,0.5861333333333334,-1.96,-16.166666666666668,"-11.57,6.00,-16.17,15.50",6,9,-42.0,2.458399999999965,-345.04818792431035,-98.65623540295114,20.8
m5_low15-25_close35-55_green,YES,flat,below>150,80,25,43.96,6.0,0.48,0.5495,-5.56,-27.833333333333332,"-9.43,-4.00,-27.83,19.67",4,9,-42.0,2.458399999999965,-345.04818792431035,-98.65623540295114,20.8
m5_low15-25_close35-55_green,YES,flat,below>150,85,25,43.96,6.0,0.4,0.5171764705882353,-9.96,-27.0,"-19.43,-15.67,-27.00,23.83",4,9,-42.0,2.458399999999965,-345.04818792431035,-98.65623540295114,20.8
m5_low15-25_close35-55_green,YES,flat,below50-150,65,37,44.189189189189186,6.0,0.8108108108108109,0.6798336798336798,8.513513513513514,3.0,"12.00,3.00,5.67,13.00",7,10,-10.5,-1.30621621621705,-94.7351702714073,-19.75305676524629,20.324324324324323
m5_low15-25_close35-55_green,YES,flat,below50-150,70,37,44.189189189189186,6.0,0.8108108108108109,0.6312741312741312,12.567567567567568,6.888888888888889,"16.00,6.89,9.56,17.44",7,10,-8.0,-1.30621621621705,-94.7351702714073,-19.75305676524629,20.324324324324323
m5_low15-25_close35-55_green,YES,flat,below50-150,75,37,44.189189189189186,6.0,0.7567567567567568,0.5891891891891892,12.567567567567568,5.111111111111111,"12.50,10.78,5.11,21.89",7,10,-43.0,-1.30621621621705,-94.7351702714073,-19.75305676524629,20.324324324324323
m5_low15-25_close35-55_green,YES,flat,below50-150,80,37,44.189189189189186,6.0,0.7027027027027027,0.5523648648648648,12.027027027027026,5.777777777777778,"16.00,5.78,8.44,17.44",7,10,-43.0,-1.30621621621705,-94.7351702714073,-19.75305676524629,20.324324324324323
m5_low15-25_close35-55_green,YES,flat,below50-150,85,37,44.189189189189186,6.0,0.7027027027027027,0.519872813990461,15.54054054054054,9.11111111111111,"19.50,9.11,11.78,21.33",8,10,-43.0,-1.30621621621705,-94.7351702714073,-19.75305676524629,20.324324324324323
m5_low15-25_close35-55_green,YES,flat,below0-50,65,27,43.81481481481482,6.0,0.5555555555555556,0.674074074074074,-7.703703703703703,-14.0,"-8.00,0.00,-9.00,-14.00",3,9,-54.0,0.5888888888897512,-22.94872957424296,-7.157488748338505,20.59259259259259
m5_low15-25_close35-55_green,YES,flat,below0-50,70,27,43.81481481481482,6.0,0.5185185185185185,0.625925925925926,-7.518518518518518,-15.142857142857142,"-15.14,3.57,-6.50,-11.86",3,9,-54.0,0.5888888888897512,-22.94872957424296,-7.157488748338505,20.59259259259259
m5_low15-25_close35-55_green,YES,flat,below0-50,75,27,43.81481481481482,6.0,0.4444444444444444,0.5841975308641976,-10.481481481481481,-20.428571428571427,"-13.00,-3.57,-4.00,-20.43",2,9,-54.0,0.5888888888897512,-22.94872957424296,-7.157488748338505,20.59259259259259
m5_low15-25_close35-55_green,YES,flat,below0-50,80,27,43.81481481481482,6.0,0.4074074074074074,0.5476851851851852,-11.222222222222221,-19.0,"-10.86,-0.71,-14.83,-19.00",2,9,-54.0,0.5888888888897512,-22.94872957424296,-7.157488748338505,20.59259259259259
m5_low15-25_close35-55_green,YES,flat,below0-50,85,27,43.81481481481482,6.0,0.4074074074074074,0.5154684095860567,-9.185185185185185,-17.571428571428573,"-8.71,2.14,-13.17,-17.57",2,9,-54.0,0.5888888888897512,-22.94872957424296,-7.157488748338505,20.59259259259259
m5_low15-25_close35-55_green,YES,flat,above50-150,65,39,42.43589743589744,6.0,0.5641025641025641,0.6528599605522682,-5.769230769230769,-24.2,"-16.70,9.60,9.78,-24.20",4,10,-39.666666666666664,0.43487179487177247,89.42648392858133,25.99972848804632,21.358974358974358
m5_low15-25_close35-55_green,YES,flat,above50-150,70,39,42.43589743589744,6.0,0.5641025641025641,0.6062271062271063,-2.948717948717949,-22.7,"-14.70,13.60,13.67,-22.70",4,10,-39.666666666666664,0.43487179487177247,89.42648392858133,25.99972848804632,21.358974358974358
