target,min_reclaim,max_entry,max_minute,exclude_hours,n,avg,win,avgwin,avgloss,pf,minq,q,poswk,weeks,minwk,acct,dd,avgsize
99,0,50,7,"(3, 12, 14, 18, 20)",16,37.0625,0.875,49.07142857142857,-47.0,7.308510638297872,1.0,"49.50,1.00,48.50,49.25",8,8,5.5,29336.5,-3056.0,48.9375
99,4,55,7,"(3, 12, 14, 18, 20)",16,34.75,0.875,47.5,-54.5,6.10091743119266,20.25,"49.50,20.25,21.75,47.50",7,8,-59.5,25886.0,-3094.0,46.625
95,0,50,7,"(3, 12, 14, 18, 20)",16,33.5625,0.875,45.07142857142857,-47.0,6.712765957446808,-1.0,"45.50,-1.00,44.50,45.25",8,8,3.5,24679.5,-3089.0,45.8125
99,5,55,7,"(3, 12, 14, 18, 20)",15,33.43333333333333,0.8666666666666667,46.96153846153846,-54.5,5.60091743119266,20.25,"49.50,20.25,21.75,45.17",7,8,-59.5,21172.5,-3094.0,43.8
99,7,55,7,"(20,)",15,33.43333333333333,0.8666666666666667,46.96153846153846,-54.5,5.60091743119266,21.5,"49.50,21.50,23.00,41.83",7,8,-9.0,21213.5,-3213.0,43.93333333333333
99,8,55,7,"(20,)",15,33.43333333333333,0.8666666666666667,46.96153846153846,-54.5,5.60091743119266,21.5,"49.50,21.50,23.00,41.83",7,8,-9.0,21213.5,-3213.0,43.93333333333333
99,0,47,10,"(3, 12, 14, 18, 20)",16,32.625,0.8125,51.26923076923077,-48.166666666666664,4.612456747404845,-23.25,"52.75,-23.25,48.50,52.50",7,8,-13.166666666666666,25065.0,-4156.5,45.375
99,0,45,10,"(3, 12, 14, 18, 20)",15,31.7,0.8,51.666666666666664,-48.166666666666664,4.290657439446367,1.25,"28.50,1.25,48.75,53.83",7,8,-13.166666666666666,21418.5,-3834.0,42.06666666666667
95,4,55,7,"(3, 12, 14, 18, 20)",16,31.25,0.875,43.5,-54.5,5.587155963302752,17.25,"45.50,17.25,18.75,43.50",7,8,-59.5,21995.5,-2856.0,43.9375
99,4,50,7,"(3, 12)",16,30.875,0.8125,48.88461538461539,-47.166666666666664,4.491166077738516,-0.25,"25.00,-0.25,49.00,49.75",6,8,-42.5,20411.0,-3663.0,40.0
99,5,55,7,"(20,)",18,30.72222222222222,0.8333333333333334,46.96666666666667,-50.5,4.65016501650165,21.25,"48.10,26.90,21.25,23.25",7,8,-20.166666666666668,23772.5,-4798.0,49.27777777777778
99,5,55,7,"(3,)",18,30.166666666666668,0.8333333333333334,46.766666666666666,-52.833333333333336,4.425867507886435,7.3,"48.10,7.30,47.50,19.00",7,8,-59.5,23678.5,-4158.0,44.388888888888886
99,5,55,7,"(3, 12)",18,30.166666666666668,0.8333333333333334,46.766666666666666,-52.833333333333336,4.425867507886435,7.3,"48.10,7.30,47.50,19.00",7,8,-59.5,23678.5,-4158.0,44.388888888888886
95,5,55,7,"(3, 12, 14, 18, 20)",15,29.966666666666665,0.8666666666666667,42.96153846153846,-54.5,5.123853211009174,17.25,"45.50,17.25,18.75,41.17",7,8,-59.5,18060.5,-2856.0,41.53333333333333
95,7,55,7,"(20,)",15,29.966666666666665,0.8666666666666667,42.96153846153846,-54.5,5.123853211009174,18.5,"45.50,18.50,20.00,37.83",7,8,-11.0,18121.5,-2975.0,41.8
95,8,55,7,"(20,)",15,29.966666666666665,0.8666666666666667,42.96153846153846,-54.5,5.123853211009174,18.5,"45.50,18.50,20.00,37.83",7,8,-11.0,18121.5,-2975.0,41.8
99,4,50,7,"(3, 12, 18)",15,29.433333333333334,0.8,48.583333333333336,-47.166666666666664,4.120141342756184,-0.25,"25.00,-0.25,48.50,49.50",6,8,-42.5,16735.5,-3663.0,37.93333333333333
99,4,55,6,"(3, 12)",16,29.375,0.8125,47.03846153846154,-47.166666666666664,4.321554770318021,-2.25,"25.50,-2.25,46.75,47.50",7,8,-42.5,17598.0,-3217.5,35.75
95,0,47,10,"(3, 12, 14, 18, 20)",16,29.375,0.8125,47.26923076923077,-48.166666666666664,4.252595155709343,-24.25,"48.75,-24.25,44.50,48.50",7,8,-14.5,21129.0,-4106.5,42.625
99,5,50,7,(),15,29.3,0.8,48.416666666666664,-47.166666666666664,4.106007067137809,-2.25,"49.50,-2.25,49.75,17.17",6,8,-42.5,16463.5,-4158.0,42.733333333333334
99,5,50,7,"(12,)",15,29.3,0.8,48.416666666666664,-47.166666666666664,4.106007067137809,-2.25,"49.50,-2.25,49.75,17.17",6,8,-42.5,16463.5,-4158.0,42.733333333333334
99,5,50,7,"(14,)",15,29.3,0.8,48.416666666666664,-47.166666666666664,4.106007067137809,-2.25,"49.50,-2.25,49.75,17.17",6,8,-42.5,16463.5,-4158.0,42.733333333333334
90,0,50,7,"(3, 12, 14, 18, 20)",16,29.1875,0.875,40.07142857142857,-47.0,5.968085106382978,-3.5,"40.50,-3.50,39.50,40.25",8,8,1.0,19823.5,-3044.0,42.4375
99,5,55,7,"(3, 18)",17,28.852941176470587,0.8235294117647058,46.357142857142854,-52.833333333333336,4.094637223974764,-2.75,"48.10,-2.75,46.25,19.00",7,8,-59.5,19617.0,-4158.0,41.529411764705884
99,5,55,7,"(3, 12, 18)",17,28.852941176470587,0.8235294117647058,46.357142857142854,-52.833333333333336,4.094637223974764,-2.75,"48.10,-2.75,46.25,19.00",7,8,-59.5,19617.0,-4158.0,41.529411764705884
