rule,target_c,mode,side_filter,trades,hit_rate,avg_entry_c,avg_pnl_c,min_q_ev,qev,qhit,pos_weeks,weeks,min_week_ev,median_minute,yes_share
R70_tree,70,all_rows,YES,174,0.5919540229885057,31.080459770114942,10.35632183908046,4.627906976744186,"20.00,6.84,4.63,9.75","0.727,0.535,0.535,0.568",7,9,-33.0,6.0,1.0
R80_momentum,80,all_rows,NO,135,0.8296296296296296,56.08888888888889,10.281481481481482,2.363636363636361,"15.47,15.68,2.36,7.38","0.882,0.912,0.727,0.794",8,10,-10.555555555555557,7.0,0.0
R50_tree,50,all_rows,YES,124,0.6935483870967742,26.29032258064516,8.387096774193548,-2.5161290322580645,"11.10,-2.52,11.32,13.65","0.742,0.452,0.774,0.806",5,6,-24.333333333333332,6.0,1.0
R70_tree,70,all_rows,BOTH,375,0.5546666666666666,31.413333333333334,7.413333333333333,5.709677419354839,"7.97,7.52,5.71,8.44","0.564,0.564,0.527,0.564",8,10,-33.0,6.0,0.464
R80_momentum,80,all_rows,BOTH,271,0.7822878228782287,56.23616236162361,6.3468634686346865,0.8358208955223875,"9.34,10.25,0.84,4.88","0.809,0.838,0.716,0.765",8,10,-1.2400000000000002,7.0,0.5018450184501845
R80_prior_sweep,80,all_rows,YES,164,0.7621951219512195,54.69512195121951,6.280487804878049,2.780487804878048,"5.00,14.29,2.78,3.05","0.756,0.878,0.707,0.707",9,10,-9.636363636363637,7.0,1.0
R60_tree,60,all_rows,YES,250,0.62,31.08,6.12,-6.274193548387097,"13.92,-6.27,11.40,5.32","0.746,0.403,0.742,0.587",8,9,-13.5,5.0,1.0
R50_tree,50,all_rows,BOTH,259,0.6216216216216216,26.1003861003861,4.980694980694981,1.1846153846153846,"1.18,1.85,9.19,7.77","0.538,0.554,0.719,0.677",6,8,-15.4,6.0,0.47876447876447875
R70_tree,70,all_rows,NO,201,0.5223880597014925,31.70149253731343,4.865671641791045,-4.235294117647059,"-4.24,6.54,9.48,7.86","0.392,0.560,0.580,0.560",6,9,-32.142857142857146,6.0,0.0
R80_prior_sweep,80,all_rows,BOTH,314,0.7420382165605095,54.87261146496815,4.490445859872611,1.4102564102564084,"7.42,1.41,5.31,3.80","0.785,0.718,0.744,0.722",8,10,-2.1612903225806472,8.0,0.5222929936305732
R60_tree,60,all_rows,BOTH,544,0.5698529411764706,31.191176470588236,3.0,0.5441176470588234,"2.27,0.54,5.37,3.82","0.559,0.529,0.618,0.574",7,10,-10.5,5.0,0.45955882352941174
R80_prior_sweep,80,all_rows,NO,150,0.72,55.06666666666667,2.5333333333333328,-6.837837837837841,"8.55,-6.84,3.14,5.05","0.789,0.622,0.730,0.737",7,10,-12.444444444444448,8.0,0.0
R80_momentum,80,all_rows,YES,136,0.7352941176470589,56.38235294117647,2.4411764705882355,-2.323529411764705,"2.59,5.44,-2.32,4.06","0.735,0.765,0.676,0.765",7,10,-3.9999999999999982,7.0,1.0
R50_tree,50,all_rows,NO,135,0.5555555555555556,25.925925925925927,1.8518518518518519,-5.264705882352941,"-4.79,-5.26,6.94,10.68","0.412,0.412,0.667,0.735",4,7,-15.4,6.0,0.0
R60_tree,60,all_rows,NO,294,0.5272108843537415,31.285714285714285,0.3469387755102041,-6.891891891891892,"-6.89,0.99,4.48,2.88","0.405,0.548,0.589,0.568",6,10,-28.000000000000004,5.0,0.0
R80_momentum,80,first_market,NO,130,0.8384615384615385,56.06153846153846,11.015384615384615,1.7812499999999976,"15.06,15.09,1.78,11.97","0.879,0.906,0.719,0.848",8,10,-10.555555555555557,7.0,0.0
R50_tree,50,first_market,YES,49,0.6938775510204082,27.122448979591837,7.571428571428571,-4.166666666666667,"9.77,-4.17,9.75,14.75","0.769,0.417,0.750,0.833",5,6,-28.999999999999996,5.0,1.0
R80_momentum,80,first_market,BOTH,258,0.7868217054263565,56.22093023255814,6.724806201550388,0.8593749999999996,"8.65,9.55,0.86,7.80","0.800,0.828,0.719,0.800",8,10,-2.2916666666666665,7.0,0.49612403100775193
R80_prior_sweep,80,first_market,YES,158,0.7658227848101266,54.78481012658228,6.481012658227848,1.461538461538461,"4.58,13.90,1.46,6.05","0.750,0.872,0.692,0.750",9,10,-9.636363636363637,7.0,1.0
R60_tree,60,first_market,YES,88,0.6136363636363636,32.23863636363637,4.579545454545454,-2.3181818181818183,"9.32,-2.32,6.68,4.64","0.682,0.500,0.682,0.591",6,9,-10.333333333333334,3.0,1.0
R80_prior_sweep,80,first_market,BOTH,301,0.7408637873754153,54.85382059800664,4.415282392026577,1.799999999999998,"6.86,1.80,3.36,5.61","0.776,0.720,0.720,0.747",8,10,-1.6428571428571452,7.0,0.5249169435215947
R70_tree,70,first_market,NO,85,0.5058823529411764,32.4,3.011764705882353,-5.272727272727274,"-5.27,4.00,1.00,12.71","0.409,0.524,0.476,0.619",5,9,-35.666666666666664,4.0,0.0
R50_tree,50,first_market,BOTH,116,0.5948275862068966,26.92241379310345,2.8189655172413794,-2.448275862068966,"0.97,-2.45,8.48,4.28","0.552,0.483,0.724,0.621",5,8,-9.000000000000002,4.0,0.4224137931034483
R70_tree,70,first_market,BOTH,156,0.4935897435897436,32.17948717948718,2.371794871794872,-1.3589743589743586,"2.28,-1.36,-0.03,8.59","0.513,0.436,0.462,0.564",6,10,-35.666666666666664,4.0,0.4551282051282051
R80_momentum,80,first_market,YES,128,0.734375,56.3828125,2.3671875,-1.499999999999999,"1.38,4.37,-1.50,5.22","0.719,0.750,0.688,0.781",6,10,-6.363636363636362,7.0,1.0
R80_prior_sweep,80,first_market,NO,143,0.7132867132867133,54.93006993006993,2.1328671328671316,-8.583333333333336,"9.25,-8.58,4.20,3.72","0.806,0.583,0.743,0.722",6,10,-11.437500000000004,8.0,0.0
R70_tree,70,first_market,YES,71,0.4788732394366197,31.91549295774648,1.6056338028169015,-4.777777777777778,"10.94,-4.78,-4.00,3.94","0.611,0.389,0.412,0.500",4,9,-34.0,4.0,1.0
