kind,pred,threshold,cost_lo,cost_hi,target,trades,win_rate,avg_entry_c,avg_pnl_c,total_unit_pnl_c,avg_win_c,avg_loss_c,pf,min_q,q,pos_weeks,weeks,min_week,yes_share,final_balance_c,account_pnl_c,max_dd_c
ml,pred_hit99_logit,0.52,0.4,0.6,80,945,0.6698412698412698,55.14920634920636,-8.061904761904762,-7618.5,18.11137440758294,-61.16346153846154,0.6007703191322119,-11.972573839662447,"-11.97,-9.66,-6.21,-4.39",0,8,-13.592307692307692,0.4126984126984127,-27.5,-11527.5,-11983.0
ml,pred_hit99_logit,0.52,0.4,0.6,85,945,0.6275132275132275,55.14920634920636,-8.310582010582014,-7853.500000000003,23.12900505902192,-61.27556818181818,0.6358894710000463,-14.651898734177216,"-14.65,-8.92,-5.60,-4.05",0,8,-14.553846153846157,0.4126984126984127,-28.500000000000007,-11528.5,-12093.5
ml,pred_hit99_logit,0.52,0.4,0.6,90,945,0.6021164021164022,55.14920634920636,-7.458730158730159,-7048.5,28.125659050966608,-61.308510638297875,0.6942347735554398,-13.069620253164556,"-13.07,-8.86,-4.18,-3.71",0,8,-13.9,0.4126984126984127,-15.5,-11515.5,-12554.0
ml,pred_hit99_logit,0.52,0.4,0.6,95,945,0.5756613756613757,55.14920634920636,-6.961375661375666,-6578.500000000004,33.14154411764706,-61.36533665835412,0.7326628060550645,-12.415611814345992,"-12.42,-8.33,-3.78,-3.31",0,8,-13.2479674796748,0.4126984126984127,-53.00000000000001,-11553.0,-13030.0
ml,pred_hit99_logit,0.52,0.4,0.6,99,945,0.5523809523809524,55.14920634920636,-6.9634920634920645,-6580.500000000001,37.13793103448276,-61.38652482269504,0.7465773207786957,-12.462025316455696,"-12.46,-7.75,-4.25,-3.36",0,8,-13.761538461538464,0.4126984126984127,-14.5,-11514.5,-13315.5
ml,pred_hit99_logit,0.53,0.4,0.6,80,821,0.6833130328867235,55.53105968331303,-7.3660170523751525,-6047.5,17.79590017825312,-61.65769230769231,0.6227621483375959,-10.684466019417476,"-10.68,-9.26,-4.38,-5.13",0,8,-12.089285714285714,0.3995127892813642,-14.499999999999972,-11514.5,-11970.0
ml,pred_hit99_logit,0.53,0.4,0.6,85,821,0.6382460414129111,55.53105968331303,-7.780146163215594,-6387.500000000003,22.801526717557252,-61.735690235690235,0.6516320798451092,-13.305825242718447,"-13.31,-9.26,-3.65,-4.89",0,8,-12.881355932203393,0.3995127892813642,-30.000000000000014,-11530.0,-12095.0
ml,pred_hit99_logit,0.53,0.4,0.6,90,821,0.6126674786845311,55.53105968331303,-6.8909866017052375,-5657.5,27.78628230616302,-61.742138364779876,0.7118518895793012,-11.800970873786408,"-11.80,-9.21,-2.38,-4.15",0,8,-12.330508474576272,0.3995127892813642,-16.5,-11516.5,-12555.0
ml,pred_hit99_logit,0.53,0.4,0.6,95,821,0.584652862362972,55.53105968331303,-6.4890377588306976,-5327.500000000003,32.78333333333333,-61.76979472140763,0.7470743228808128,-11.364077669902912,"-11.36,-8.11,-2.28,-4.18",0,8,-11.228813559322038,0.3995127892813642,-10.0,-11510.0,-12987.0
ml,pred_hit99_logit,0.53,0.4,0.6,99,821,0.5627283800243605,55.53105968331303,-6.320950060901341,-5189.500000000001,36.78138528138528,-61.789693593314766,0.7660543221007551,-11.669902912621358,"-11.67,-7.28,-2.64,-3.67",0,8,-12.48305084745763,0.3995127892813642,-33.5,-11533.5,-13334.5
ml,pred_hit99_logit,0.54,0.4,0.6,80,722,0.6814404432132964,55.815789473684205,-7.800554016620499,-5632.0,17.48780487804878,-61.89565217391304,0.6043832537229559,-11.035911602209945,"-11.04,-11.02,-4.99,-4.11",0,8,-12.098130841121495,0.39058171745152354,-17.000000000000007,-11517.0,-12906.5
ml,pred_hit99_logit,0.54,0.4,0.6,85,722,0.6329639889196675,55.815789473684205,-8.513850415512469,-6147.000000000002,22.48030634573304,-61.96415094339623,0.6256508632502056,-12.582872928176796,"-12.58,-12.49,-4.69,-4.25",0,8,-13.193548387096778,0.39058171745152354,-7.5,-11507.5,-12925.0
ml,pred_hit99_logit,0.54,0.4,0.6,90,722,0.6121883656509696,55.815789473684205,-7.218836565096953,-5212.0,27.486425339366516,-62.003571428571426,0.6997868786360233,-12.51657458563536,"-10.70,-12.52,-3.27,-2.33",0,8,-12.01764705882353,0.39058171745152354,-23.0,-11523.0,-13255.5
ml,pred_hit99_logit,0.54,0.4,0.6,95,722,0.5844875346260388,55.815789473684205,-6.78947368421053,-4902.000000000003,32.4739336492891,-62.02,0.7365366010964205,-11.301104972375695,"-9.99,-11.30,-3.66,-2.17",0,8,-12.547058823529417,0.39058171745152354,-12.000000000000021,-11512.0,-13559.5
ml,pred_hit99_logit,0.54,0.4,0.6,99,722,0.5623268698060941,55.815789473684205,-6.645429362880888,-4798.000000000001,36.470443349753694,-62.04113924050633,0.7552665136444785,-10.55524861878453,"-10.56,-10.23,-4.47,-1.28",0,8,-12.758823529411767,0.39058171745152354,-60.50000000000001,-11560.5,-13896.5
ml,pred_hit99_logit,0.55,0.4,0.6,80,580,0.6913793103448276,56.30862068965518,-7.498275862068965,-4349.0,17.081047381546135,-62.56145251396648,0.6116444166629459,-11.355172413793104,"-9.44,-11.36,-4.80,-4.40",0,8,-11.680555555555555,0.3775862068965517,-29.000000000000014,-11529.0,-12918.5
ml,pred_hit99_logit,0.55,0.4,0.6,85,580,0.6396551724137931,56.30862068965518,-8.437931034482762,-4894.000000000002,22.06873315363881,-62.59090909090909,0.6258838818178343,-12.803448275862074,"-11.44,-12.80,-5.25,-4.26",0,8,-14.388888888888893,0.3775862068965517,-54.000000000000064,-11554.0,-12971.5
ml,pred_hit99_logit,0.55,0.4,0.6,90,580,0.6206896551724138,56.30862068965518,-6.946551724137931,-4029.0,27.094444444444445,-62.65,0.7076833780744395,-13.562068965517241,"-9.09,-13.56,-3.70,-1.43",0,8,-14.041666666666668,0.3775862068965517,-10.5,-11510.5,-13243.0
ml,pred_hit99_logit,0.55,0.4,0.6,95,580,0.5879310344827586,56.30862068965518,-6.955172413793107,-4034.000000000002,32.06304985337243,-62.6255230125523,0.730482712543845,-12.768965517241382,"-8.13,-12.77,-4.98,-1.95",0,8,-11.333333333333337,0.3775862068965517,-54.000000000000064,-11554.0,-13601.5
ml,pred_hit99_logit,0.55,0.4,0.6,99,580,0.5672413793103448,56.30862068965518,-6.651724137931036,-3858.000000000001,36.056231003039514,-62.63147410358566,0.7545879583982698,-11.327586206896553,"-9.28,-11.33,-4.57,-1.43",1,8,-10.702247191011239,0.3775862068965517,-55.50000000000005,-11555.5,-13891.5
