rule,side,btc_signed_bin,early_low_bin,trades,hit85,avg_entry_c,avg_pnl85_c,median_entry_minute
low<=40_close40-65_green,NO,with>75,35+,1,1.0,43.00000000000001,41.99999999999999,8.0
low<=20_close45-65_green,NO,with>75,<=15,4,1.0,54.5,30.499999999999996,7.0
low<=25_close45-65_green,NO,with>75,<=15,4,1.0,54.5,30.499999999999996,7.0
low<=30_close45-65_green,NO,with>75,<=15,4,1.0,54.5,30.499999999999996,7.0
low<=35_close45-65_green,NO,with>75,<=15,4,1.0,54.5,30.499999999999996,7.0
low<=40_close45-65_green,NO,with>75,<=15,4,1.0,54.5,30.499999999999996,7.0
low<=25_close40-65_green,NO,with>75,20-25,4,1.0,56.25,28.749999999999996,6.0
low<=25_close45-65_green,NO,with>75,20-25,4,1.0,56.25,28.749999999999996,6.0
low<=30_close40-65_green,NO,with>75,20-25,4,1.0,56.25,28.749999999999996,6.0
low<=30_close45-65_green,NO,with>75,20-25,4,1.0,56.25,28.749999999999996,6.0
low<=35_close40-65_green,NO,with>75,20-25,4,1.0,56.25,28.749999999999996,6.0
low<=35_close45-65_green,NO,with>75,20-25,4,1.0,56.25,28.749999999999996,6.0
low<=40_close40-65_green,NO,with>75,20-25,4,1.0,56.25,28.749999999999996,6.0
low<=40_close45-65_green,NO,with>75,20-25,4,1.0,56.25,28.749999999999996,6.0
low<=40_close45-65_green,YES,against>75,35+,2,1.0,56.99999999999999,28.000000000000007,8.0
low<=20_close50-70_green,NO,with>75,<=15,5,1.0,57.4,27.6,8.0
low<=25_close50-70_green,NO,with>75,<=15,5,1.0,57.4,27.6,8.0
low<=30_close50-70_green,NO,with>75,<=15,5,1.0,57.4,27.6,8.0
low<=35_close50-70_green,NO,with>75,<=15,5,1.0,57.4,27.6,8.0
low<=40_close50-70_green,NO,with>75,<=15,5,1.0,57.4,27.6,8.0
low<=35_close40-65_green,NO,with>75,30-35,2,1.0,59.5,25.499999999999996,6.0
low<=35_close45-65_green,NO,with>75,30-35,2,1.0,59.5,25.499999999999996,6.0
low<=40_close40-65_green,NO,with>75,30-35,2,1.0,59.5,25.499999999999996,6.0
low<=40_close45-65_green,NO,with>75,30-35,2,1.0,59.5,25.499999999999996,6.0
low<=25_close50-70_green,NO,with>75,20-25,6,1.0,59.833333333333336,25.166666666666668,6.0
low<=30_close50-70_green,NO,with>75,20-25,6,1.0,59.833333333333336,25.166666666666668,6.0
low<=35_close50-70_green,NO,with>75,20-25,6,1.0,59.833333333333336,25.166666666666668,6.0
low<=40_close50-70_green,NO,with>75,20-25,6,1.0,59.833333333333336,25.166666666666668,6.0
low<=35_close50-70_green,NO,against>75,30-35,4,1.0,60.0,25.0,8.0
low<=40_close50-70_green,NO,against>75,30-35,4,1.0,60.0,25.0,8.0
low<=35_close40-65_green,YES,with>75,30-35,1,1.0,61.0,24.0,6.0
low<=35_close45-65_green,YES,with>75,30-35,1,1.0,61.0,24.0,6.0
low<=40_close40-65_green,YES,with>75,30-35,1,1.0,61.0,24.0,6.0
low<=40_close45-65_green,NO,with>75,35+,1,1.0,61.0,24.0,9.0
low<=40_close45-65_green,YES,with>75,30-35,1,1.0,61.0,24.0,6.0
low<=20_close40-65_green,YES,with25-75,<=15,14,0.8571428571428571,51.285714285714285,21.571428571428573,6.0
low<=25_close40-65_green,YES,with25-75,<=15,14,0.8571428571428571,51.285714285714285,21.571428571428573,6.0
low<=30_close40-65_green,YES,with25-75,<=15,14,0.8571428571428571,51.285714285714285,21.571428571428573,6.0
low<=35_close40-65_green,YES,with25-75,<=15,14,0.8571428571428571,51.285714285714285,21.571428571428573,6.0
low<=40_close40-65_green,YES,with25-75,<=15,14,0.8571428571428571,51.285714285714285,21.571428571428573,6.0
low<=30_close55-75_green,NO,against>75,25-30,4,1.0,63.5,21.5,7.5
low<=35_close55-75_green,NO,against>75,25-30,4,1.0,63.5,21.5,7.5
low<=40_close55-75_green,NO,against>75,25-30,4,1.0,63.5,21.5,7.5
low<=20_close55-75_green,NO,with>75,<=15,6,1.0,64.33333333333333,20.666666666666664,7.0
low<=25_close55-75_green,NO,with>75,<=15,6,1.0,64.33333333333333,20.666666666666664,7.0
low<=30_close55-75_green,NO,with>75,<=15,6,1.0,64.33333333333333,20.666666666666664,7.0
low<=35_close55-75_green,NO,with>75,<=15,6,1.0,64.33333333333333,20.666666666666664,7.0
low<=40_close55-75_green,NO,with>75,<=15,6,1.0,64.33333333333333,20.666666666666664,7.0
low<=20_close40-65_green,NO,with>75,<=15,6,0.8333333333333334,50.666666666666664,20.16666666666666,6.0
low<=25_close40-65_green,NO,with>75,<=15,6,0.8333333333333334,50.666666666666664,20.16666666666666,6.0
low<=30_close40-65_green,NO,with>75,<=15,6,0.8333333333333334,50.666666666666664,20.16666666666666,6.0
low<=35_close40-65_green,NO,with>75,<=15,6,0.8333333333333334,50.666666666666664,20.16666666666666,6.0
low<=40_close40-65_green,NO,with>75,<=15,6,0.8333333333333334,50.666666666666664,20.16666666666666,6.0
low<=40_close50-70_green,NO,with>75,35+,4,1.0,65.75,19.25,7.0
low<=25_close40-65_green,YES,against>75,20-25,9,0.7777777777777778,47.44444444444444,18.666666666666668,8.0
low<=30_close40-65_green,YES,against>75,20-25,9,0.7777777777777778,47.44444444444444,18.666666666666668,8.0
low<=35_close40-65_green,YES,against>75,20-25,9,0.7777777777777778,47.44444444444444,18.666666666666668,8.0
low<=40_close40-65_green,YES,against>75,20-25,9,0.7777777777777778,47.44444444444444,18.666666666666668,8.0
low<=20_close55-75_green,YES,against>75,<=15,8,1.0,66.75,18.25,9.0
low<=25_close55-75_green,YES,against>75,<=15,8,1.0,66.75,18.25,9.0
low<=30_close55-75_green,YES,against>75,<=15,8,1.0,66.75,18.25,9.0
low<=35_close55-75_green,YES,against>75,<=15,8,1.0,66.75,18.25,9.0
low<=40_close55-75_green,YES,against>75,<=15,8,1.0,66.75,18.25,9.0
