rule,side,btc_signed_bin,early_low_bin,target_c,trades,avg_entry_c,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,median_entry_minute
low<=20_close40-65_green,NO,against25-75,15-20,60,37,50.0,0.8378378378378378,0.8333333333333334,0.2702702702702691,-4.400000000000002,"-4.40,0.89,3.89,1.22",4,9,-11.000000000000004,8.0
low<=20_close40-65_green,NO,against25-75,15-20,70,37,50.0,0.8108108108108109,0.7142857142857143,6.756756756756757,2.000000000000001,"3.60,2.00,12.78,9.00",6,9,-6.0000000000000036,8.0
low<=20_close40-65_green,NO,against25-75,15-20,80,37,50.0,0.7027027027027027,0.625,6.216216216216216,-9.888888888888891,"11.60,9.78,12.78,-9.89",7,9,-41.0,8.0
low<=20_close40-65_green,NO,against25-75,15-20,85,37,50.0,0.5405405405405406,0.5882352941176471,-4.054054054054054,-24.11111111111111,"7.10,-24.11,7.22,-7.67",5,9,-41.0,8.0
low<=20_close40-65_green,NO,against25-75,15-20,90,37,50.0,0.5405405405405406,0.5555555555555556,-1.3513513513513522,-22.444444444444443,"10.60,-22.44,10.56,-5.44",5,9,-41.0,8.0
low<=20_close40-65_green,NO,against25-75,15-20,99,37,50.0,0.4864864864864865,0.5050505050505051,-1.8378378378378386,-19.444444444444443,"16.90,-19.44,5.56,-12.44",3,9,-41.0,8.0
low<=20_close40-65_green,NO,flat,15-20,60,99,48.61616161616162,0.6868686868686869,0.8102693602693604,-7.404040404040404,-12.52,"-7.64,-4.48,-4.88,-12.52",2,10,-16.466666666666665,7.0
low<=20_close40-65_green,NO,flat,15-20,70,99,48.61616161616162,0.6262626262626263,0.6945165945165945,-4.777777777777778,-9.319999999999999,"-3.24,-2.88,-3.63,-9.32",2,10,-16.466666666666665,7.0
low<=20_close40-65_green,NO,flat,15-20,80,99,48.61616161616162,0.5050505050505051,0.6077020202020202,-8.212121212121213,-10.708333333333336,"-6.04,-9.28,-10.71,-6.92",2,10,-23.133333333333333,7.0
low<=20_close40-65_green,NO,flat,15-20,85,99,48.61616161616162,0.48484848484848486,0.5719548425430778,-7.404040404040404,-10.28,"-3.24,-10.28,-8.42,-7.72",3,10,-21.8,7.0
low<=20_close40-65_green,NO,flat,15-20,90,99,48.61616161616162,0.46464646464646464,0.5401795735129069,-6.797979797979798,-11.68,"-0.44,-11.68,-9.88,-5.32",4,10,-20.466666666666665,7.0
low<=20_close40-65_green,NO,flat,15-20,99,99,48.61616161616162,0.4444444444444444,0.4910723395571881,-4.616161616161616,-12.04,"0.64,-12.04,-6.13,-1.00",4,10,-18.066666666666666,7.0
low<=20_close40-65_green,YES,against25-75,<=15,60,30,48.03333333333333,0.7333333333333333,0.8005555555555556,-4.033333333333333,-12.142857142857142,"-7.25,-12.14,3.57,-0.38",4,10,-46.0,8.0
