model,auc,brier,log_loss
p_market,0.7975154955698422,0.18430102112954186,0.5474558740395338
p_market_blend,0.7973396868497296,0.18438141767078567,0.5478468515700865
p_dual_stack,0.7938260081548626,0.1853943939554063,0.5504960616725726
p_residual_lightgbm,0.7928619718528576,0.1858547993301008,0.5522214200154667
p_ensemble,0.7905749333368829,0.18703390629032624,0.5552588939771899
p_xgboost,0.7899742997599685,0.1871265068582804,0.5559409566689095
p_logit,0.7866860666320594,0.188394772094812,0.5573015834595436
p_kalshi_signal,0.7863691117943805,0.18858281096114504,0.5585084240181516
p_lightgbm,0.786647799118849,0.18870283015385597,0.5595823839169342
p_hist_gb,0.7864298406740406,0.18878666433557384,0.5599759629861683
p_btc_signal,0.7797854357172329,0.19172810849818403,0.5678918102277429
