model,edge,cost_low,cost_high,target_c,discovery_trades,discovery_avg_pnl_c,discovery_profit_factor,discovery_win_rate,discovery_yes_share,validation_trades,validation_avg_pnl_c,validation_profit_factor,validation_win_rate,validation_yes_share
p_hist_gb,0.06999999999999999,0.6,0.9,100,104,0.8846153846153846,1.05282802182027,0.7788461538461539,0.7788461538461539,253,-8.887351778656127,0.618833700627225,0.6996047430830039,0.30434782608695654
p_hist_gb,0.06999999999999999,0.5,0.8,100,198,0.696969696969697,1.0331770645510279,0.6717171717171717,0.7171717171717171,261,-6.159003831417625,0.7470495672698663,0.6551724137931034,0.29118773946360155
p_hist_gb,0.06,0.5,0.8,100,244,0.6311475409836066,1.0302881305929787,0.6762295081967213,0.7008196721311475,308,-5.383116883116883,0.7746670290839902,0.6623376623376623,0.3181818181818182
p_hist_gb,0.06999999999999999,0.5,0.8,99,198,0.5252525252525253,1.0253473068486474,0.6767676767676768,0.7171717171717171,261,-6.055555555555555,0.7454091494845361,0.6628352490421456,0.29118773946360155
p_hist_gb,0.06,0.5,0.8,99,244,0.36065573770491804,1.0175019888623706,0.680327868852459,0.7008196721311475,308,-5.402597402597403,0.7692414366939399,0.6688311688311688,0.3181818181818182
p_hist_gb,0.06999999999999999,0.6,0.9,99,104,0.10576923076923077,1.006316393913293,0.7788461538461539,0.7788461538461539,253,-8.021739130434783,0.6358988159311088,0.7154150197628458,0.30434782608695654
p_hist_gb,0.06,0.6,0.9,100,145,0.05172413793103458,1.0030662305805396,0.7793103448275862,0.7448275862068966,302,-8.062913907284768,0.6388044203812208,0.7119205298013245,0.33112582781456956
p_btc_signal,0.06,0.6,0.9,100,196,0.035714285714286004,1.0021221767470063,0.7704081632653061,0.6785714285714286,364,-3.8736263736263736,0.8035664530509892,0.7417582417582418,0.32967032967032966
p_kalshi_signal,0.09999999999999999,0.4,0.7,100,116,-3.062684205862501e-16,1.0,0.5603448275862069,0.6551724137931034,101,-10.193069306930694,0.6440179806362379,0.5445544554455446,0.2871287128712871
p_btc_signal,0.06,0.5,0.8,100,313,-0.2476038338658147,0.9881444087501913,0.6805111821086262,0.6677316293929713,402,-2.818407960199005,0.8692893401015228,0.6915422885572139,0.30845771144278605
