side_filter,entry_c,target_c,gross_win_c,loss_c,breakeven_hit_rate,trades,hit_rate,edge_vs_breakeven,avg_pnl_c,total_pnl_c,median_fill_minute,avg_spread_at_fill_c,median_spread_at_fill_c,min_quartile_ev_c,quartile_ev_c,quartile_hit_rate,positive_weeks,weeks,min_week_ev_c
BOTH,20,30,10,20,0.6666666666666666,5789,0.5477629987908101,-0.11890366787585649,-3.5671100362756953,-20650,6.0,0.9763344273622385,1.0000000000000009,-4.263994471319973,"-3.38,-3.60,-4.26,-3.02","0.554,0.547,0.525,0.566",0,10,-4.900332225913621
BOTH,20,31,11,20,0.6451612903225806,5789,0.5337709448954915,-0.11139034542708914,-3.453100708239765,-19990,6.0,0.9763344273622385,1.0000000000000009,-4.082239115411196,"-3.19,-3.57,-4.08,-2.97","0.542,0.530,0.513,0.549",0,10,-4.6544850498338874
BOTH,20,32,12,20,0.625,5789,0.5037139402314735,-0.12128605976852647,-3.8811539125928487,-22468,6.0,0.9763344273622385,1.0000000000000009,-4.254319281271596,"-3.58,-4.10,-4.25,-3.59","0.513,0.497,0.492,0.513",0,10,-4.584717607973422
BOTH,20,33,13,20,0.6060606060606061,5789,0.48972188633615477,-0.11633871972445131,-3.8391777509068925,-22225,6.0,0.9763344273622385,1.0000000000000009,-4.172771250863856,"-3.55,-4.01,-4.17,-3.63","0.499,0.484,0.480,0.496",0,10,-4.48671096345515
BOTH,20,34,14,20,0.5882352941176471,5789,0.48350319571601313,-0.10473209840163394,-3.5608913456555538,-20614,6.0,0.9763344273622385,1.0000000000000009,-3.975120939875605,"-3.19,-3.74,-3.98,-3.34","0.494,0.478,0.471,0.490",0,10,-4.355481727574751
BOTH,20,35,15,20,0.5714285714285714,5789,0.46622905510450857,-0.10519951632406283,-3.681983071342201,-21315,6.0,0.9763344273622385,1.0000000000000009,-4.035936420179682,"-3.44,-3.84,-4.04,-3.41","0.473,0.462,0.456,0.474",0,10,-4.4186046511627906
BOTH,20,36,16,20,0.5555555555555556,5789,0.4550008637070306,-0.100554691848525,-3.6199689065468994,-20956,6.0,0.9763344273622385,1.0000000000000009,-4.0027643400138215,"-3.44,-3.65,-4.00,-3.38","0.460,0.454,0.444,0.462",0,10,-4.451827242524917
BOTH,20,37,17,20,0.5405405405405406,5789,0.44394541371566765,-0.09659512682487292,-3.574019692520297,-20690,6.0,0.9763344273622385,1.0000000000000009,-4.018659295093297,"-3.47,-3.53,-4.02,-3.28","0.447,0.445,0.432,0.452",0,10,-4.3887043189368775
BOTH,20,38,18,20,0.5263157894736842,5789,0.4342718949732251,-0.09204389450045908,-3.497667991017447,-20248,6.0,0.9763344273622385,1.0000000000000009,-3.954388389771942,"-3.34,-3.48,-3.95,-3.22","0.439,0.435,0.422,0.442",0,10,-4.3455149501661126
BOTH,20,39,19,20,0.5128205128205128,5789,0.4223527379512869,-0.09046777486922586,-3.52824321989981,-20425,6.0,0.9763344273622385,1.0000000000000009,-4.125086385625432,"-3.17,-3.48,-4.13,-3.34","0.432,0.424,0.407,0.427",0,10,-4.516611295681063
